iter	Logloss
0	0.6749389648
1	0.6542834473
2	0.6347401123
3	0.6176053467
4	0.6031553955
5	0.5875056152
6	0.5747578125
7	0.5611848145
8	0.5507374268
9	0.5388509521
10	0.5290893555
11	0.5202073364
12	0.5107435913
13	0.5027054443
14	0.4953465881
15	0.4873693237
16	0.48088974
17	0.4750440674
18	0.4698790283
19	0.4646305237
20	0.4595784607
21	0.4539229736
22	0.4492160034
23	0.4451229858
24	0.4411976929
25	0.4370216064
26	0.433529541
27	0.4302811279
28	0.4270265503
29	0.423919342
30	0.4210815125
31	0.4184503174
32	0.4159309692
33	0.4135540771
34	0.411322876
35	0.4090910034
36	0.4065107422
37	0.4046287537
38	0.4020215454
39	0.4002894287
40	0.3987020874
41	0.397012146
42	0.3956059875
43	0.3939743652
44	0.392749939
45	0.3912462158
46	0.3898692627
47	0.3885472412
48	0.3873933716
49	0.3862149963
50	0.3852503662
51	0.3839324951
52	0.3830321655
53	0.3819955139
54	0.3811010132
55	0.3801029968
56	0.379289978
57	0.3784145203
58	0.3770656738
59	0.3763670349
60	0.3757109375
61	0.374942627
62	0.3738470764
63	0.3731017151
64	0.3724539185
65	0.3718380127
66	0.3713959961
67	0.3707705078
68	0.3701063843
69	0.3693478699
70	0.3686269531
71	0.3681227417
72	0.3675722656
73	0.3668808899
74	0.3665429993
75	0.3661203003
76	0.365515625
77	0.3650575562
78	0.3641091919
79	0.3636451111
80	0.3633607788
81	0.3631776123
82	0.3622562866
83	0.3620591125
84	0.3615423279
85	0.3613046875
86	0.3608082886
87	0.3605164795
88	0.3601516724
89	0.3596911316
90	0.3595173035
91	0.358716095
92	0.3579645386
93	0.357628418
94	0.3572550049
95	0.3566013489
96	0.3561904602
97	0.3559316711
98	0.3555914307
99	0.3551895447
100	0.3548746033
101	0.3542082825
102	0.3538754883
103	0.3536651001
104	0.3530202637
105	0.3527454224
106	0.352453186
107	0.3521911011
108	0.3519995728
109	0.3518027344
110	0.3515285034
111	0.3513464355
112	0.3511883545
113	0.3509591675
114	0.3507885132
115	0.3505726318
116	0.3503483276
117	0.3501832275
118	0.3500452576
119	0.3499495544
120	0.3497573547
121	0.3495293579
122	0.3493889465
123	0.3492352905
124	0.3490678101
125	0.3485180664
126	0.3479910278
127	0.3478611145
128	0.3476851501
129	0.3475796509
130	0.3472966309
131	0.3469963379
132	0.3467387085
133	0.3463739929
134	0.3460223694
135	0.3457561035
136	0.3455550537
137	0.3454564819
138	0.3453414917
139	0.3452122192
140	0.3451251526
141	0.3449750977
142	0.344878418
143	0.3446583862
144	0.3444668579
145	0.3441313477
146	0.343848999
147	0.3435581055
148	0.3434107971
149	0.3432991333
150	0.3432583008
151	0.3431323242
152	0.3429228821
153	0.3427814331
154	0.3426705933
155	0.3425530701
156	0.3424385376
157	0.3423998718
158	0.3421733093
159	0.3420604858
160	0.3418520508
161	0.3416777954
162	0.3415770569
163	0.3415263672
164	0.3414613342
165	0.3412615662
166	0.3411002502
167	0.3409620667
168	0.340584259
169	0.3405068359
170	0.340366333
171	0.3402103577
172	0.3401193848
173	0.3400636597
174	0.3399837646
175	0.3398838806
176	0.3398075867
177	0.3396506958
178	0.3395900879
179	0.339494873
180	0.3391970215
181	0.338954895
182	0.3388707275
183	0.3387977295
184	0.338729126
185	0.3384550781
186	0.3381341553
187	0.3379500732
188	0.3378336792
189	0.3377651672
190	0.3377177429
191	0.3376432495
192	0.337574585
193	0.3374792786
194	0.3373967896
195	0.3373272705
196	0.3371835327
197	0.3370188293
198	0.3369307861
199	0.3368503113
200	0.3366802368
201	0.3365423584
202	0.3364922791
203	0.3363518982
204	0.336255127
205	0.3360874634
206	0.3360363159
207	0.3359815979
208	0.3359182739
209	0.3358238831
210	0.3357827454
211	0.3356855774
212	0.3356166992
213	0.3355590515
214	0.3354402466
215	0.3353893433
216	0.3353362122
217	0.3352626038
218	0.3352025146
219	0.3351599121
220	0.3350482483
221	0.334921936
222	0.3348629456
223	0.334818634
224	0.3347066956
225	0.3345886841
226	0.334530304
227	0.3343986816
228	0.3343598022
229	0.334318573
230	0.3342254639
231	0.3341163635
232	0.3338095398
233	0.3337521973
234	0.3337103577
235	0.3336535645
236	0.3335755005
237	0.33354776
238	0.3334607239
239	0.3334338379
240	0.3331511841
241	0.3330265503
242	0.3329753723
243	0.3329007263
244	0.3328765259
245	0.3326038818
246	0.3325614014
247	0.3325009155
248	0.3324428101
249	0.3323940125
250	0.3322471924
251	0.3321906738
252	0.332109375
253	0.3320388184
254	0.3319634399
255	0.3318735352
256	0.3317456665
257	0.3317013855
258	0.3316634216
259	0.3316208801
260	0.3313820801
261	0.3313625183
262	0.3313157349
263	0.3312372437
264	0.3309996338
265	0.3309475708
266	0.330914856
267	0.3308335571
268	0.330788269
269	0.3307524109
270	0.3306490173
271	0.330555481
272	0.3303701782
273	0.3302857666
274	0.3302404785
275	0.3300374451
276	0.3299902344
277	0.3298602295
278	0.3298199768
279	0.3297341614
280	0.3296901855
281	0.3296564026
282	0.3296082153
283	0.3295909424
284	0.3295627441
285	0.3295293579
286	0.3293076782
287	0.3292196655
288	0.3291700439
289	0.3290017395
290	0.3289680481
291	0.3289365845
292	0.3289117126
293	0.3288771362
294	0.3288494873
295	0.3288165588
296	0.3287925415
297	0.3287640381
298	0.3286463013
299	0.328616272
300	0.3285750427
301	0.3285394287
302	0.3285200806
303	0.3284631042
304	0.3284162292
305	0.3282763062
306	0.3282347107
307	0.3281785278
308	0.328090271
309	0.3280397949
310	0.3280022278
311	0.3279378967
312	0.3279194336
313	0.3278370056
314	0.3278041077
315	0.3277771301
316	0.3276076965
317	0.327553833
318	0.3274475708
319	0.3273993835
320	0.3273621826
321	0.3271645813
322	0.3271018372
323	0.3270820618
324	0.3270599365
325	0.3270379028
326	0.3269807129
327	0.3269411621
328	0.3268891602
329	0.3268576355
330	0.3267305298
331	0.3266701355
332	0.3266001892
333	0.3265830688
334	0.3265668335
335	0.326515686
336	0.3264865723
337	0.3264603882
338	0.3264078979
339	0.3263897705
340	0.3262936707
341	0.3262691956
342	0.326201416
343	0.3261635132
344	0.3261051636
345	0.3260340271
346	0.3259702759
347	0.3259373779
348	0.3258760986
349	0.325846283
350	0.3258218384
351	0.325766571
352	0.3256869812
353	0.3256598511
354	0.3256256409
355	0.3255550842
356	0.3254900513
357	0.3254658203
358	0.3253254395
359	0.325304657
360	0.3252824707
361	0.3252246094
362	0.3251820679
363	0.325127594
364	0.3250507812
365	0.3250267944
366	0.3250132446
367	0.324890686
368	0.3248366089
369	0.3247837524
370	0.3247249451
371	0.324590332
372	0.3244613953
373	0.3244056091
374	0.3243352661
375	0.3242645874
376	0.3242286377
377	0.3241749268
378	0.3241613464
379	0.3240950928
380	0.3240266113
381	0.3239684448
382	0.3239158325
383	0.3238754883
384	0.3237684937
385	0.3237084351
386	0.3236634521
387	0.3236318665
388	0.3235726318
389	0.3234646301
390	0.3234027405
391	0.3233494263
392	0.3232881775
393	0.3232261658
394	0.3231912842
395	0.3231664124
396	0.3231110229
397	0.3230813599
398	0.3230411987
399	0.3230166016
400	0.3229622803
401	0.3229451294
402	0.3228889771
403	0.3228618774
404	0.322826355
405	0.3228032837
406	0.3227732239
407	0.3227354736
408	0.3226919556
409	0.322673584
410	0.3226152954
411	0.3225488586
412	0.322530426
413	0.3224741211
414	0.3224211426
415	0.3223970032
416	0.3222361755
417	0.3221395264
418	0.3220848999
419	0.3220615234
420	0.3220065918
421	0.3219450684
422	0.3217980347
423	0.3217406006
424	0.3217073975
425	0.3216735535
426	0.321628418
427	0.3215785522
428	0.321555481
429	0.3215107727
430	0.3214554443
431	0.3213995361
432	0.3213518677
433	0.32129422
434	0.3212487793
435	0.3211963501
436	0.3211852417
437	0.3211422119
438	0.3210861206
439	0.3210377502
440	0.3210036926
441	0.3209776001
442	0.3209667053
443	0.3209163818
444	0.3208911743
445	0.3208455811
446	0.3208230286
447	0.3207844238
448	0.32073172
449	0.3206813965
450	0.3206466064
451	0.3206365967
452	0.3206047058
453	0.3205700073
454	0.3204449158
455	0.3203982544
456	0.3203735352
457	0.3203598022
458	0.3203106689
459	0.3202537842
460	0.3202302551
461	0.3201700134
462	0.3201580505
463	0.3200306396
464	0.3199822998
465	0.3199686584
466	0.3198461914
467	0.3198347168
468	0.3197911682
469	0.3197525635
470	0.3197159729
471	0.3196723633
472	0.3196589355
473	0.3196363831
474	0.3195907593
475	0.319553833
476	0.3195427246
477	0.3195299683
478	0.3194882813
479	0.3194792786
480	0.3194323425
481	0.3194232788
482	0.3193961792
483	0.3193509216
484	0.3193041687
485	0.3192495728
486	0.3192221985
487	0.3192103271
488	0.3191758423
489	0.3191271362
490	0.3190778503
491	0.3190671692
492	0.3190089722
493	0.3189761963
494	0.3189072571
495	0.3188603821
496	0.3187506714
497	0.3187082214
498	0.3186629333
499	0.3186101685
500	0.3185552368
501	0.3184931335
502	0.3184279175
503	0.3184046021
504	0.3183616638
505	0.3183335571
506	0.3182915039
507	0.3182546997
508	0.3181425781
509	0.3180991211
510	0.3180525513
511	0.3180408936
512	0.3180325317
513	0.3179910889
514	0.3179513245
515	0.3179170532
516	0.3178632202
517	0.3178502197
518	0.3178120117
519	0.3177843018
520	0.3177404175
521	0.3177095947
522	0.3176881714
523	0.3176356201
524	0.3176121216
525	0.3175899963
526	0.3175499878
527	0.3175129395
528	0.3175006104
529	0.3174620972
530	0.3173985291
531	0.3173445129
532	0.3172937927
533	0.3171984253
534	0.3171881104
535	0.3171425476
536	0.317102417
537	0.317074646
538	0.3169823914
539	0.3169388123
540	0.3168795166
541	0.3168531494
542	0.316828064
543	0.3167893677
544	0.316749939
545	0.3166969604
546	0.3166872559
547	0.316652832
548	0.3166036072
549	0.316564209
550	0.3165497131
551	0.3165191345
552	0.3164866028
553	0.3164316406
554	0.3163961792
555	0.3163869629
556	0.3163093872
557	0.3162720947
558	0.3162399292
559	0.3162309875
560	0.316192688
561	0.3161679382
562	0.3161080627
563	0.3160830078
564	0.3160383301
565	0.3159875488
566	0.3159677734
567	0.3159279175
568	0.3158786011
569	0.3158384705
570	0.3158005981
571	0.3157921448
572	0.3157783203
573	0.3157578125
574	0.3156757202
575	0.3156251526
576	0.3155643311
577	0.3155354614
578	0.3154937134
579	0.3154407654
580	0.3154127808
581	0.3154105225
582	0.3153799438
583	0.3153465576
584	0.3153262634
585	0.3152905273
586	0.3152133484
587	0.3151896362
588	0.3151413269
589	0.3151169434
590	0.3150772705
591	0.3150332642
592	0.3150249634
593	0.3149470215
594	0.314915802
595	0.3148878174
596	0.314859436
597	0.3148225098
598	0.3147914429
599	0.3147680969
600	0.3147285461
601	0.314697998
602	0.3146506042
603	0.3146269836
604	0.3145777283
605	0.3145367432
606	0.3145257263
607	0.3144925232
608	0.3144244385
609	0.3143917847
610	0.3143608398
611	0.3143386841
612	0.3142951355
613	0.3142729492
614	0.3142540283
615	0.3142177124
616	0.3141677246
617	0.3141320496
618	0.3140742493
619	0.3140461426
620	0.3140277405
621	0.3140201416
622	0.3139950867
623	0.3139659729
624	0.3139345703
625	0.3138959656
626	0.313875061
627	0.3138377686
628	0.3138012085
629	0.3137719727
630	0.3137394409
631	0.3136958923
632	0.3136546021
633	0.3136167603
634	0.3135580444
635	0.3135505371
636	0.313528717
637	0.313508728
638	0.3134642639
639	0.3134570007
640	0.3134348145
641	0.3134170837
642	0.3133943481
643	0.313302002
644	0.3132478027
645	0.3132154541
646	0.3131826172
647	0.3131430969
648	0.3131047058
649	0.3130667114
650	0.3130401001
651	0.3130044556
652	0.312949585
653	0.3129108887
654	0.3128601379
655	0.3128531189
656	0.3128191833
657	0.3127753296
658	0.3127473145
659	0.3127089233
660	0.3126629028
661	0.3126113281
662	0.3125767517
663	0.3125332031
